word,tbcl_level,cefr,category,zhuyin,pinyin,written_freq_per_million,spoken_freq_per_million
高鐵,4,B1,交通、旅遊,ㄍㄠ ㄊㄧㄝˇ,gāo tiě,3,15
歌手,4,B1,休閒、娛樂,ㄍㄜ ㄕㄡˇ,gē shǒu,12,8
個人,4,B1,個人資料,ㄍㄜˋ ㄖㄣˊ,gè rén,277,104
各式各樣,4,B1,核心詞,ㄍㄜˋ ㄕˋ ㄍㄜˋ ㄧㄤˋ,gè shì gè yàng,27,25
個性,4,B1,個人資料,ㄍㄜˋ ㄒㄧㄥˋ,gè xìng,79,69
根,4,B1,核心詞,ㄍㄣ,gēn,163,114
工廠,4,B1,職業,ㄍㄨㄥ ㄔㄤˇ,gōng chǎng,80,81
公尺,4,B1,核心詞,ㄍㄨㄥ ㄔˇ,gōng chǐ,80,147
公分,4,B1,核心詞,ㄍㄨㄥ ㄈㄣ,gōng fēn,42,76
公共,4,B1,社會,ㄍㄨㄥ ㄍㄨㄥˋ,gōng gòng,47,42
公斤,4,B1,核心詞,ㄍㄨㄥ ㄐㄧㄣ,gōng jīn,29,99
工具,4,B1,交通、旅遊,ㄍㄨㄥ ㄐㄩˋ,gōng jù,99,72
公里,4,B1,核心詞,ㄍㄨㄥ ㄌㄧˇ,gōng lǐ,95,136
功能,4,B1,身體、醫療,ㄍㄨㄥ ㄋㄥˊ,gōng néng,170,141
公平,4,B1,社會,ㄍㄨㄥ ㄆㄧㄥˊ,gōng píng,47,29
恭喜,4,B1,社交、人際,ㄍㄨㄥ ㄒㄧˇ,gōng xǐ,7,31
公寓,4,B1,日常起居,ㄍㄨㄥ ㄩˋ,gōng yù,40,7
共同,4,B1,核心詞,ㄍㄨㄥˋ ㄊㄨㄥˊ,gòng tóng,134,129
溝通,4,B1,核心詞,ㄍㄡ ㄊㄨㄥ,gōu tōng,138,94
購買,4,B1,購物、商店,ㄍㄡˋ ㄇㄞˇ,gòu mǎi,59,24
鼓勵,4,B1,核心詞,ㄍㄨˇ ㄌㄧˋ,gǔ lì,115,160
顧客,4,B1,購物、商店,ㄍㄨˋ ㄎㄜˋ,gù kè,119,14
故意,4,B1,核心詞,ㄍㄨˋ ㄧˋ,gù yì,67,32
乖,4,B1,核心詞,ㄍㄨㄞ,guāi,18,56
怪,4,B1,核心詞,ㄍㄨㄞˋ,guài,90,42
觀光,4,B1,交通、旅遊,ㄍㄨㄢ ㄍㄨㄤ,guān guāng,18,68
觀光客,4,B1,交通、旅遊,ㄍㄨㄢ ㄍㄨㄤ ㄎㄜˋ,guān guāng kè,8,30
關門,4,B1,核心詞,ㄍㄨㄢ ㄇㄣˊ,guān mén,9,10
觀念,4,B1,教育、學習,ㄍㄨㄢ ㄋㄧㄢˋ,guān niàn,161,156
觀眾,4,B1,休閒、娛樂,ㄍㄨㄢ ㄓㄨㄥˋ,guān zhòng,86,267
管,4,B1,核心詞,ㄍㄨㄢˇ,guǎn,90,95
廣告,4,B1,購物、商店,ㄍㄨㄤˇ ㄍㄠˋ,guǎng gào,126,26
規定,4,B1,核心詞,ㄍㄨㄟ ㄉㄧㄥˋ,guī dìng,77,49
規則,4,B1,教育、學習,ㄍㄨㄟ ㄗㄜˊ,guī zé,59,14
櫃檯/櫃台/櫃臺,4,B1,購物、商店,ㄍㄨㄟˋ ㄊㄞˊ,guì tái,21,4
貴姓,4,B1,核心詞,ㄍㄨㄟˋ ㄒㄧㄥˋ,guì xìng,1,1
鍋子,4,B1,餐飲、烹飪,ㄍㄨㄛ ˙ㄗ,guō zi,51,48
國際,4,B1,教育、學習,ㄍㄨㄛˊ ㄐㄧˋ,guó jì,121,326
國內,4,B1,個人資料,ㄍㄨㄛˊ ㄋㄟˋ,guó nèi,64,81
國外,4,B1,個人資料,ㄍㄨㄛˊ ㄨㄞˋ,guó wài,33,76
國中,4,B1,個人資料,ㄍㄨㄛˊ ㄓㄨㄥ,guó zhōng,23,54
過期,4,B1,核心詞,ㄍㄨㄛˋ ㄑㄧˊ,guò qí,3,5
過去,4,B1,核心詞,ㄍㄨㄛˋ ㄑㄩˋ,guò qù,364,393
哈,4,B1,核心詞,ㄏㄚ,hā,29,42
嗨,4,B1,核心詞,ㄏㄞ,hāi,11,18
海外,4,B1,核心詞,ㄏㄞˇ ㄨㄞˋ,hǎi wài,30,24
海洋,4,B1,交通、旅遊,ㄏㄞˇ ㄧㄤˊ,hǎi yáng,30,132
害,4,B1,核心詞,ㄏㄞˋ,hài,62,60
喊,4,B1,核心詞,ㄏㄢˇ,hǎn,81,26
漢語,4,B1,教育、學習,ㄏㄢˋ ㄩˇ,hàn yǔ,6,7
好2,4,B1,核心詞,ㄏㄠˋ,hào,1887,5853
好奇,4,B1,情緒、態度,ㄏㄠˋ ㄑㄧˊ,hào qí,65,71
和平,4,B1,社會,ㄏㄜˊ ㄆㄧㄥˊ,hé píng,45,97
紅包,4,B1,文化,ㄏㄨㄥˊ ㄅㄠ,hóng bāo,5,13
紅綠燈,4,B1,交通、旅遊,ㄏㄨㄥˊ ㄌㄩˋ ㄉㄥ,hóng lǜ dēng,2,5
喉嚨/喉,4,B1,身體、醫療,ㄏㄡˊ ㄌㄨㄥˊ/ㄏㄡˊ,hóu lóng/hóu,28,12
猴子/猴,4,B1,個人資料,ㄏㄡˊ ˙ㄗ/ㄏㄡˊ,hóu zi/hóu,67,31
厚,4,B1,核心詞,ㄏㄡˋ,hòu,36,38
忽然/忽,4,B1,核心詞,ㄏㄨ ㄖㄢˊ/ㄏㄨ,hū rán/hū,143,26
呼吸,4,B1,身體、醫療,ㄏㄨ ㄒㄧ,hū xī,79,52
胡椒,4,B1,餐飲、烹飪,ㄏㄨˊ ㄐㄧㄠ,hú jiāo,7,1
糊塗,4,B1,核心詞,ㄏㄨˊ ㄊㄨˊ,hú tú,15,3
互相,4,B1,核心詞,ㄏㄨˋ ㄒㄧㄤ,hù xiāng,97,105
護照,4,B1,交通、旅遊,ㄏㄨˋ ㄓㄠˋ,hù zhào,8,4
花園,4,B1,日常起居,ㄏㄨㄚ ㄩㄢˊ,huā yuán,51,19
滑,4,B1,核心詞,ㄏㄨㄚˊ,huá,15,18
滑雪,4,B1,休閒、娛樂,ㄏㄨㄚˊ ㄒㄩㄝˇ,huá xuě,9,2
話題,4,B1,核心詞,ㄏㄨㄚˋ ㄊㄧˊ,huà tí,54,32
化妝,4,B1,日常起居,ㄏㄨㄚˋ ㄓㄨㄤ,huà zhuāng,7,7
恢復,4,B1,身體、醫療,ㄏㄨㄟ ㄈㄨˋ,huī fù,85,75
回收,4,B1,日常起居,ㄏㄨㄟˊ ㄕㄡ,huí shōu,9,214
會話,4,B1,教育、學習,ㄏㄨㄟˋ ㄏㄨㄚˋ,huì huà,2,4
會議,4,B1,職業,ㄏㄨㄟˋ ㄧˋ,huì yì,121,97
婚禮,4,B1,社交、人際,ㄏㄨㄣ ㄌㄧˇ,hūn lǐ,24,25
活,4,B1,身體、醫療,ㄏㄨㄛˊ,huó,205,171
活潑,4,B1,個人資料,ㄏㄨㄛˊ ㄆㄛ,huó pō,28,27
或許,4,B1,核心詞,ㄏㄨㄛˋ ㄒㄩˇ,huò xǔ,231,108
幾乎,4,B1,核心詞,ㄐㄧ ㄏㄨ,jī hū,306,236
激烈,4,B1,核心詞,ㄐㄧ ㄌㄧㄝˋ,jī liè,48,23
機器,4,B1,核心詞,ㄐㄧ ㄑㄧˋ,jī qì,78,66
級,4,B1,教育、學習,ㄐㄧˊ,jí,35,43
擠,4,B1,核心詞,ㄐㄧˇ,jǐ,35,23
記,4,B1,核心詞,ㄐㄧˋ,jì,67,69
記錄,4,B1,核心詞,ㄐㄧˋ ㄌㄨˋ,jì lù,65,64
紀錄,4,B1,教育、學習,ㄐㄧˋ ㄌㄨˋ,jì lù,61,114
紀念,4,B1,社交、人際,ㄐㄧˋ ㄋㄧㄢˋ,jì niàn,31,36
技術,4,B1,職業,ㄐㄧˋ ㄕㄨˋ,jì shù,178,160
計算,4,B1,科技,ㄐㄧˋ ㄙㄨㄢˋ,jì suàn,57,25
繼續,4,B1,核心詞,ㄐㄧˋ ㄒㄩˋ,jì xù,319,296
記者,4,B1,職業,ㄐㄧˋ ㄓㄜˇ,jì zhě,67,73
加熱,4,B1,餐飲、烹飪,ㄐㄧㄚ ㄖㄜˋ,jiā rè,7,17
加入,4,B1,核心詞,ㄐㄧㄚ ㄖㄨˋ,jiā rù,103,138
家事,4,B1,核心詞,ㄐㄧㄚ ㄕˋ,jiā shì,21,26
家鄉,4,B1,日常起居,ㄐㄧㄚ ㄒㄧㄤ,jiā xiāng,36,57
家長,4,B1,教育、學習,ㄐㄧㄚ ㄓㄤˇ,jiā zhǎng,82,85
假2,4,B1,安全,ㄐㄧㄚˇ,jiǎ,66,50
架,4,B1,核心詞,ㄐㄧㄚˋ,jià,57,37
價格,4,B1,購物、商店,ㄐㄧㄚˋ ㄍㄜˊ,jià gé,69,77
假期,4,B1,文化,ㄐㄧㄚˋ ㄑㄧˊ,jià qí,13,13
價錢,4,B1,核心詞,ㄐㄧㄚˋ ㄑㄧㄢˊ,jià qián,18,29
剪,4,B1,核心詞,ㄐㄧㄢˇ,jiǎn,17,72
檢查,4,B1,核心詞,ㄐㄧㄢˇ ㄔㄚˊ,jiǎn chá,93,91
剪刀,4,B1,購物、商店,ㄐㄧㄢˇ ㄉㄠ,jiǎn dāo,9,13
減少,4,B1,核心詞,ㄐㄧㄢˇ ㄕㄠˇ,jiǎn shǎo,92,199
見到,4,B1,核心詞,ㄐㄧㄢˋ ㄉㄠˋ,jiàn dào,120,30
將來,4,B1,核心詞,ㄐㄧㄤ ㄌㄞˊ,jiāng lái,73,74
獎,4,B1,休閒、娛樂,ㄐㄧㄤˇ,jiǎng,24,44
講話,4,B1,核心詞,ㄐㄧㄤˇ ㄏㄨㄚˋ,jiǎng huà,52,83
講價,4,B1,核心詞,ㄐㄧㄤˇ ㄐㄧㄚˋ,jiǎng jià,1,0
獎學金,4,B1,教育、學習,ㄐㄧㄤˇ ㄒㄩㄝˊ ㄐㄧㄣ,jiǎng xué jīn,8,6
醬油,4,B1,餐飲、烹飪,ㄐㄧㄤˋ ㄧㄡˊ,jiàng yóu,9,26
交換,4,B1,社交、人際,ㄐㄧㄠ ㄏㄨㄢˋ,jiāo huàn,39,37
郊區,4,B1,日常起居,ㄐㄧㄠ ㄑㄩ,jiāo qū,8,8
教師,4,B1,教育、學習,ㄐㄧㄠˋ ㄕ,jiào shī,96,15
教堂,4,B1,個人資料,ㄐㄧㄠˋ ㄊㄤˊ,jiào táng,47,39
教學,4,B1,教育、學習,ㄐㄧㄠˋ ㄒㄩㄝˊ,jiào xué,103,62
接受,4,B1,核心詞,ㄐㄧㄝ ㄕㄡˋ,jiē shòu,360,196
接下來,4,B1,核心詞,ㄐㄧㄝ ㄒㄧㄚˋ ㄌㄞˊ,jiē xià lái,92,223
節,4,B1,教育、學習,ㄐㄧㄝˊ,jié,38,59
節目,4,B1,休閒、娛樂,ㄐㄧㄝˊ ㄇㄨˋ,jié mù,66,178
解決,4,B1,核心詞,ㄐㄧㄝˇ ㄐㄩㄝˊ,jiě jué,234,228
解釋,4,B1,核心詞,ㄐㄧㄝˇ ㄕˋ,jiě shì,247,66
緊,4,B1,核心詞,ㄐㄧㄣˇ,jǐn,51,33
進口,4,B1,交通、旅遊,ㄐㄧㄣˋ ㄎㄡˇ,jìn kǒu,21,37
近年,4,B1,教育、學習,ㄐㄧㄣˋ ㄋㄧㄢˊ,jìn nián,30,50
進入,4,B1,交通、旅遊,ㄐㄧㄣˋ ㄖㄨˋ,jìn rù,236,219
經濟,4,B1,社會,ㄐㄧㄥ ㄐㄧˋ,jīng jì,252,421
警察,4,B1,安全,ㄐㄧㄥˇ ㄔㄚˊ,jǐng chá,72,52
競爭,4,B1,職業,ㄐㄧㄥˋ ㄓㄥ,jìng zhēng,130,41
鏡子/鏡,4,B1,購物、商店,ㄐㄧㄥˋ ˙ㄗ/ㄐㄧㄥˋ,jìng zi/jìng,63,28
救,4,B1,身體、醫療,ㄐㄧㄡˋ,jiù,71,95
舉,4,B1,核心詞,ㄐㄩˇ,jǔ,82,65
舉辦,4,B1,核心詞,ㄐㄩˇ ㄅㄢˋ,jǔ bàn,45,52
舉行,4,B1,核心詞,ㄐㄩˇ ㄒㄧㄥˊ,jǔ xíng,60,66
拒絕,4,B1,核心詞,ㄐㄩˋ ㄐㄩㄝˊ,jù jué,114,32
距離/距,4,B1,核心詞,ㄐㄩˋ ㄌㄧˊ/ㄐㄩˋ,jù lí/jù,126,127
卡通,4,B1,休閒、娛樂,ㄎㄚˇ ㄊㄨㄥ,kǎ tōng,8,18
開放,4,B1,職業,ㄎㄞ ㄈㄤˋ,kāi fàng,71,46
看出,4,B1,核心詞,ㄎㄢˋ ㄔㄨ,kàn chū,78,23
考卷,4,B1,教育、學習,ㄎㄠˇ ㄐㄩㄢˋ,kǎo juàn,5,10
考慮,4,B1,核心詞,ㄎㄠˇ ㄌㄩˋ,kǎo lǜ,111,49
靠,4,B1,核心詞,ㄎㄠˋ,kào,224,217
靠近,4,B1,核心詞,ㄎㄠˋ ㄐㄧㄣˋ,kào jìn,44,43
棵,4,B1,核心詞,ㄎㄜ,kē,68,145
科技,4,B1,教育、學習,ㄎㄜ ㄐㄧˋ,kē jì,122,113
科學,4,B1,教育、學習,ㄎㄜ ㄒㄩㄝˊ,kē xué,286,124
可,4,B1,核心詞,ㄎㄜˇ,kě,1109,380
可憐,4,B1,核心詞,ㄎㄜˇ ㄌㄧㄢˊ,kě lián,77,31
課程,4,B1,教育、學習,ㄎㄜˋ ㄔㄥˊ,kè chéng,134,92
課文,4,B1,教育、學習,ㄎㄜˋ ㄨㄣˊ,kè wén,3,2
空間,4,B1,日常起居,ㄎㄨㄥ ㄐㄧㄢ,kōng jiān,190,151
恐怖,4,B1,安全,ㄎㄨㄥˇ ㄅㄨˋ,kǒng bù,49,126
